gene_family	duplication	loss	transfer
OG0000005	0.656	1e-07	1e-07
OG0000005	-22.1261	NA	NA
OG0000009	0.0512	1e-07	0.3184
OG0000009	-21.0671	NA	NA
OG0000010	0.456	1e-07	1e-07
OG0000010	-15.6744	NA	NA
OG0000011	1e-07	0.032	0.576
OG0000011	-28.2232	NA	NA
OG0000013	0.24704	0.05568	0.10592
OG0000013	-21.7597	NA	NA
OG0000017	0.1504	1e-07	0.1888
OG0000017	-18.512	NA	NA
OG0000018	0.496	1e-07	1e-07
OG0000018	-13.3669	NA	NA
OG0000019	0.2624	1e-07	0.1024
OG0000019	-14.6631	NA	NA
OG0000020	0.344	1e-07	1e-07
OG0000020	-10.9529	NA	NA
OG0000026	0.1376	1e-07	0.3216
OG0000026	-15.0621	NA	NA
OG0000027	0.1152	1e-07	0.2496
OG0000027	-15.5305	NA	NA
OG0000032	1e-07	1e-07	0.36
OG0000032	-14.183	NA	NA
OG0000033	0.1824	1e-07	0.1984
OG0000033	-11.2867	NA	NA
