gene_family	Aque	Beraby	Berova	Bolinf	Bolmic
OG0000005	1	0	2	11	3
OG0000009	3	3	0	3	5
OG0000010	9	1	1	1	1
OG0000011	2	1	3	3	4
OG0000013	4	2	3	0	3
OG0000017	2	2	1	3	3
OG0000018	1	6	2	0	2
OG0000019	1	1	1	6	1
OG0000020	2	3	2	1	2
OG0000026	3	0	1	2	3
OG0000027	1	1	1	5	1
OG0000032	2	2	1	1	2
OG0000033	3	2	2	0	1
OG0000034	1	1	4	0	1
OG0000041	1	0	1	2	2
OG0000043	1	3	1	1	1
OG0000044	1	0	1	3	2
OG0000045	1	2	1	2	1
OG0000052	1	2	1	1	1
OG0000054	2	0	2	1	1
OG0000068	1	2	1	0	1
OG0000069	1	1	0	2	1
OG0000071	1	1	1	1	1
OG0000072	1	1	2	0	1
OG0000073	1	1	1	1	1
OG0000074	1	1	2	0	1
