gene_family	species	duplication	loss	transfer
OG0000005	Aque	0.490216	1e-07	0.169205
OG0000005	Bolinf	0.737043	1e-07	1e-07
OG0000005	Bolmic	0.543077	1e-07	1e-07
OG0000005	Beraby	0.520054	0.601712	0.0441451
OG0000005	Berova	0.505714	1e-07	0.425786
OG0000005	Node_Aque_Beraby_0	0.520054	0.0198959	0.0441451
OG0000005	Node_Aque_Bolinf_0	0.490524	1e-07	0.170332
OG0000005	Node_Bolinf_Bolmic_0	0.490221	1e-07	0.169139
OG0000005	Node_Aque_Berova_0	0.520054	1e-07	0.0441451
OG0000009	Aque	0.168986	0.000690806	0.126009
OG0000009	Bolinf	0.168986	0.000690806	0.126009
OG0000009	Bolmic	0.168986	0.000690806	0.126009
OG0000009	Beraby	0.168986	0.000690806	0.126009
OG0000009	Berova	0.168986	0.000690806	0.126009
OG0000009	Node_Aque_Beraby_0	0.168986	0.000690806	0.126009
OG0000009	Node_Aque_Bolinf_0	0.168986	0.000690806	0.126009
OG0000009	Node_Bolinf_Bolmic_0	0.168986	0.000690806	0.126009
OG0000009	Node_Aque_Berova_0	0.168986	0.000690806	0.126009
OG0000010	Aque	0.520964	1e-07	1e-07
OG0000010	Bolinf	0.520964	1e-07	1e-07
OG0000010	Bolmic	0.520964	1e-07	1e-07
OG0000010	Beraby	0.520964	1e-07	1e-07
OG0000010	Berova	0.520964	1e-07	1e-07
OG0000010	Node_Aque_Beraby_0	0.520964	1e-07	1e-07
OG0000010	Node_Aque_Bolinf_0	0.520964	1e-07	1e-07
OG0000010	Node_Bolinf_Bolmic_0	0.520964	1e-07	1e-07
OG0000010	Node_Aque_Berova_0	0.520964	1e-07	1e-07
OG0000011	Aque	1e-07	1e-07	0.49362
OG0000011	Bolinf	1e-07	1e-07	0.49362
OG0000011	Bolmic	1e-07	1e-07	0.49362
OG0000011	Beraby	1e-07	1e-07	0.49362
OG0000011	Berova	1e-07	1e-07	0.49362
OG0000011	Node_Aque_Beraby_0	1e-07	1e-07	0.49362
OG0000011	Node_Aque_Bolinf_0	1e-07	1e-07	0.49362
OG0000011	Node_Bolinf_Bolmic_0	1e-07	1e-07	0.49362
OG0000011	Node_Aque_Berova_0	1e-07	1e-07	0.49362
OG0000013	Aque	1	0.171488	0.984386
OG0000013	Bolinf	1e-07	1	1e-07
OG0000013	Bolmic	0.381111	1e-07	1e-07
OG0000013	Beraby	1e-07	1e-07	0.206129
OG0000013	Berova	0.497532	1e-07	1e-07
OG0000013	Node_Aque_Beraby_0	1e-07	1e-07	0.119947
OG0000013	Node_Aque_Bolinf_0	1e-07	0.223657	1e-07
OG0000013	Node_Bolinf_Bolmic_0	1e-07	0.0706603	0.116145
OG0000013	Node_Aque_Berova_0	1e-07	1e-07	0.0133221
OG0000017	Aque	0.145975	0.00144654	0.152334
OG0000017	Bolinf	0.145975	0.00144654	0.152334
OG0000017	Bolmic	0.145975	0.00144654	0.152334
OG0000017	Beraby	0.145975	0.00144654	0.152334
OG0000017	Berova	0.145975	0.00144654	0.152334
OG0000017	Node_Aque_Beraby_0	0.145975	0.00144654	0.152334
OG0000017	Node_Aque_Bolinf_0	0.145975	0.00144654	0.152334
OG0000017	Node_Bolinf_Bolmic_0	0.145975	0.00144654	0.152334
OG0000017	Node_Aque_Berova_0	0.145975	0.00144654	0.152334
OG0000018	Aque	0.0647681	1e-07	1e-07
OG0000018	Bolinf	0.0811015	1	1e-07
OG0000018	Bolmic	0.507024	1e-07	1e-07
OG0000018	Beraby	1	1e-07	1e-07
OG0000018	Berova	0.386668	1e-07	1e-07
OG0000018	Node_Aque_Beraby_0	0.0253967	0.057668	1e-07
OG0000018	Node_Aque_Bolinf_0	0.0568808	1e-07	1e-07
OG0000018	Node_Bolinf_Bolmic_0	0.065924	1e-07	1e-07
OG0000018	Node_Aque_Berova_0	0.107158	1e-07	1e-07
OG0000019	Aque	1e-07	1e-07	1e-07
OG0000019	Bolinf	1	1e-07	1e-07
OG0000019	Bolmic	1e-07	1	1
OG0000019	Beraby	1e-07	1e-07	1e-07
OG0000019	Berova	1e-07	1e-07	1e-07
OG0000019	Node_Aque_Beraby_0	1e-07	1e-07	1e-07
OG0000019	Node_Aque_Bolinf_0	1e-07	1e-07	1e-07
OG0000019	Node_Bolinf_Bolmic_0	1e-07	1e-07	1
OG0000019	Node_Aque_Berova_0	1e-07	1e-07	1e-07
OG0000020	Aque	0.501532	1e-07	0.0867742
OG0000020	Bolinf	0.501532	1e-07	0.0867742
OG0000020	Bolmic	0.501532	1e-07	0.0867742
OG0000020	Beraby	0.501532	1e-07	0.0867742
OG0000020	Berova	0.501532	1e-07	0.0867742
OG0000020	Node_Aque_Beraby_0	0.501532	1e-07	0.0867742
OG0000020	Node_Aque_Bolinf_0	0.501532	1e-07	0.0867742
OG0000020	Node_Bolinf_Bolmic_0	0.501532	1e-07	0.0867742
OG0000020	Node_Aque_Berova_0	0.501532	1e-07	0.0867742
OG0000026	Aque	0.200766	0.141188	0.258772
OG0000026	Bolinf	0.200766	0.141188	0.258772
OG0000026	Bolmic	0.200766	0.141188	0.258772
OG0000026	Beraby	0.200766	0.141188	0.258772
OG0000026	Berova	0.200766	0.141188	0.258772
OG0000026	Node_Aque_Beraby_0	0.200766	0.141188	0.258772
OG0000026	Node_Aque_Bolinf_0	0.200766	0.141188	0.258772
OG0000026	Node_Bolinf_Bolmic_0	0.200766	0.141188	0.258772
OG0000026	Node_Aque_Berova_0	0.200766	0.141188	0.258772
OG0000027	Aque	1e-07	1e-07	1e-07
OG0000027	Bolinf	1	1e-07	1e-07
OG0000027	Bolmic	1e-07	0.348022	1e-07
OG0000027	Beraby	1e-07	1e-07	1
OG0000027	Berova	1e-07	1e-07	1e-07
OG0000027	Node_Aque_Beraby_0	1e-07	1e-07	1e-07
OG0000027	Node_Aque_Bolinf_0	1e-07	1e-07	1e-07
OG0000027	Node_Bolinf_Bolmic_0	1e-07	1e-07	1e-07
OG0000027	Node_Aque_Berova_0	1e-07	1e-07	1e-07
OG0000032	Aque	0.0248909	0.0172212	0.507983
OG0000032	Bolinf	0.0248909	0.0172212	0.507983
OG0000032	Bolmic	0.0248909	0.0172212	0.507983
OG0000032	Beraby	0.0248909	0.0172212	0.507983
OG0000032	Berova	0.0248909	0.0172212	0.507983
OG0000032	Node_Aque_Beraby_0	0.0248909	0.0172212	0.507983
OG0000032	Node_Aque_Bolinf_0	0.0248909	0.0172212	0.507983
OG0000032	Node_Bolinf_Bolmic_0	0.0248909	0.0172212	0.507983
OG0000032	Node_Aque_Berova_0	0.0248909	0.0172212	0.507983
OG0000033	Aque	0.173025	0.171734	0.127895
OG0000033	Bolinf	0.173025	0.171734	0.127895
OG0000033	Bolmic	0.173025	0.171734	0.127895
OG0000033	Beraby	0.173025	0.171734	0.127895
OG0000033	Berova	0.173025	0.171734	0.127895
OG0000033	Node_Aque_Beraby_0	0.173025	0.171734	0.127895
OG0000033	Node_Aque_Bolinf_0	0.173025	0.171734	0.127895
OG0000033	Node_Bolinf_Bolmic_0	0.173025	0.171734	0.127895
OG0000033	Node_Aque_Berova_0	0.173025	0.171734	0.127895
OG0000034	Aque	1e-07	1e-07	1e-07
OG0000034	Bolinf	1e-07	1	1e-07
OG0000034	Bolmic	1e-07	1e-07	1e-07
OG0000034	Beraby	1e-07	1e-07	1e-07
OG0000034	Berova	1	1e-07	1e-07
OG0000034	Node_Aque_Beraby_0	1e-07	0.211301	0.0303103
OG0000034	Node_Aque_Bolinf_0	1e-07	1e-07	1e-07
OG0000034	Node_Bolinf_Bolmic_0	1e-07	1e-07	1e-07
OG0000034	Node_Aque_Berova_0	0.0391684	1e-07	0.0163388
OG0000041	Aque	1e-07	0.111946	0.177858
OG0000041	Bolinf	1e-07	0.111946	0.177858
OG0000041	Bolmic	1e-07	0.111946	0.177858
OG0000041	Beraby	1e-07	0.111946	0.177858
OG0000041	Berova	1e-07	0.111946	0.177858
OG0000041	Node_Aque_Beraby_0	1e-07	0.111946	0.177858
OG0000041	Node_Aque_Bolinf_0	1e-07	0.111946	0.177858
OG0000041	Node_Bolinf_Bolmic_0	1e-07	0.111946	0.177858
OG0000041	Node_Aque_Berova_0	1e-07	0.111946	0.177858
OG0000043	Aque	0.203853	1e-07	0.0415468
OG0000043	Bolinf	0.203853	1e-07	0.0415468
OG0000043	Bolmic	0.203853	1e-07	0.0415468
OG0000043	Beraby	0.203853	1e-07	0.0415468
OG0000043	Berova	0.203853	1e-07	0.0415468
OG0000043	Node_Aque_Beraby_0	0.203853	1e-07	0.0415468
OG0000043	Node_Aque_Bolinf_0	0.203853	1e-07	0.0415468
OG0000043	Node_Bolinf_Bolmic_0	0.203853	1e-07	0.0415468
OG0000043	Node_Aque_Berova_0	0.203853	1e-07	0.0415468
OG0000044	Aque	0.265282	1e-07	0.38444
OG0000044	Bolinf	0.265282	1e-07	0.38444
OG0000044	Bolmic	0.265282	1e-07	0.38444
OG0000044	Beraby	0.265282	1e-07	0.38444
OG0000044	Berova	0.265282	1e-07	0.38444
OG0000044	Node_Aque_Beraby_0	0.265282	1e-07	0.38444
OG0000044	Node_Aque_Bolinf_0	0.265282	1e-07	0.38444
OG0000044	Node_Bolinf_Bolmic_0	0.265282	1e-07	0.38444
OG0000044	Node_Aque_Berova_0	0.265282	1e-07	0.38444
OG0000045	Aque	1e-07	1e-07	0.752966
OG0000045	Bolinf	0.745093	1e-07	0.105515
OG0000045	Bolmic	0.00041439	1e-07	0.0247056
OG0000045	Beraby	1e-07	1e-07	1e-07
OG0000045	Berova	1e-07	1e-07	0.0314501
OG0000045	Node_Aque_Beraby_0	1e-07	1e-07	0.0309888
OG0000045	Node_Aque_Bolinf_0	1e-07	1e-07	0.0313649
OG0000045	Node_Bolinf_Bolmic_0	0.000404224	1e-07	0.0247695
OG0000045	Node_Aque_Berova_0	0.00235206	1e-07	0.026709
OG0000052	Aque	0.097908	0.12302	0.145351
OG0000052	Bolinf	0.097908	0.12302	0.145351
OG0000052	Bolmic	0.097908	0.12302	0.145351
OG0000052	Beraby	0.097908	0.12302	0.145351
OG0000052	Berova	0.097908	0.12302	0.145351
OG0000052	Node_Aque_Beraby_0	0.097908	0.12302	0.145351
OG0000052	Node_Aque_Bolinf_0	0.097908	0.12302	0.145351
OG0000052	Node_Bolinf_Bolmic_0	0.097908	0.12302	0.145351
OG0000052	Node_Aque_Berova_0	0.097908	0.12302	0.145351
OG0000054	Aque	0.164357	0.0827353	0.108513
OG0000054	Bolinf	0.164357	0.0827353	0.108513
OG0000054	Bolmic	0.164357	0.0827353	0.108513
OG0000054	Beraby	0.164357	0.0827353	0.108513
OG0000054	Berova	0.164357	0.0827353	0.108513
OG0000054	Node_Aque_Beraby_0	0.164357	0.0827353	0.108513
OG0000054	Node_Aque_Bolinf_0	0.164357	0.0827353	0.108513
OG0000054	Node_Bolinf_Bolmic_0	0.164357	0.0827353	0.108513
OG0000054	Node_Aque_Berova_0	0.164357	0.0827353	0.108513
OG0000068	Aque	0.0979141	0.124011	0.144514
OG0000068	Bolinf	0.0979141	0.124011	0.144514
OG0000068	Bolmic	0.0979141	0.124011	0.144514
OG0000068	Beraby	0.0979141	0.124011	0.144514
OG0000068	Berova	0.0979141	0.124011	0.144514
OG0000068	Node_Aque_Beraby_0	0.0979141	0.124011	0.144514
OG0000068	Node_Aque_Bolinf_0	0.0979141	0.124011	0.144514
OG0000068	Node_Bolinf_Bolmic_0	0.0979141	0.124011	0.144514
OG0000068	Node_Aque_Berova_0	0.0979141	0.124011	0.144514
OG0000069	Aque	0.0919107	0.00143034	0.0212678
OG0000069	Bolinf	0.0919107	0.00143034	0.0212678
OG0000069	Bolmic	0.0919107	0.00143034	0.0212678
OG0000069	Beraby	0.0919107	0.00143034	0.0212678
OG0000069	Berova	0.0919107	0.00143034	0.0212678
OG0000069	Node_Aque_Beraby_0	0.0919107	0.00143034	0.0212678
OG0000069	Node_Aque_Bolinf_0	0.0919107	0.00143034	0.0212678
OG0000069	Node_Bolinf_Bolmic_0	0.0919107	0.00143034	0.0212678
OG0000069	Node_Aque_Berova_0	0.0919107	0.00143034	0.0212678
OG0000071	Aque	1e-07	1e-07	1e-07
OG0000071	Bolinf	1e-07	1e-07	1e-07
OG0000071	Bolmic	1e-07	1e-07	1e-07
OG0000071	Beraby	1e-07	1e-07	1e-07
OG0000071	Berova	1e-07	1e-07	1e-07
OG0000071	Node_Aque_Beraby_0	1e-07	1e-07	1e-07
OG0000071	Node_Aque_Bolinf_0	1e-07	1e-07	1e-07
OG0000071	Node_Bolinf_Bolmic_0	1e-07	1e-07	1e-07
OG0000071	Node_Aque_Berova_0	1e-07	1e-07	1e-07
OG0000072	Aque	1e-07	0.0265544	1e-07
OG0000072	Bolinf	1e-07	0.815882	1e-07
OG0000072	Bolmic	1e-07	0.0261524	1e-07
OG0000072	Beraby	1e-07	0.030877	1e-07
OG0000072	Berova	0.649286	1e-07	0.256613
OG0000072	Node_Aque_Beraby_0	1e-07	0.0866102	0.154338
OG0000072	Node_Aque_Bolinf_0	1e-07	0.0304027	1e-07
OG0000072	Node_Bolinf_Bolmic_0	1e-07	0.0333782	1e-07
OG0000072	Node_Aque_Berova_0	0.0680477	0.0117313	0.155313
OG0000073	Aque	1e-07	1e-07	1e-07
OG0000073	Bolinf	1e-07	1e-07	1e-07
OG0000073	Bolmic	1e-07	1e-07	1e-07
OG0000073	Beraby	1e-07	1e-07	1e-07
OG0000073	Berova	1e-07	1e-07	1e-07
OG0000073	Node_Aque_Beraby_0	1e-07	1e-07	1e-07
OG0000073	Node_Aque_Bolinf_0	1e-07	1e-07	1e-07
OG0000073	Node_Bolinf_Bolmic_0	1e-07	1e-07	1e-07
OG0000073	Node_Aque_Berova_0	1e-07	1e-07	1e-07
OG0000074	Aque	1e-07	0.0265544	1e-07
OG0000074	Bolinf	1e-07	0.815882	1e-07
OG0000074	Bolmic	1e-07	0.0261524	1e-07
OG0000074	Beraby	1e-07	0.030877	1e-07
OG0000074	Berova	0.649286	1e-07	0.256613
OG0000074	Node_Aque_Beraby_0	1e-07	0.0866102	0.154338
OG0000074	Node_Aque_Bolinf_0	1e-07	0.0304027	1e-07
OG0000074	Node_Bolinf_Bolmic_0	1e-07	0.0333782	1e-07
OG0000074	Node_Aque_Berova_0	0.0680477	0.0117313	0.155313
