gene_family	Aque	Beraby	Berova	Bolinf	Bolmic
OG0000005	0	0	0	0	0
OG0000009	0	0	0	1	0
OG0000010	0	0	0	0	0
OG0000011	0	0	2	2	4
OG0000013	1	0	0	0	0
OG0000017	0	1	0	0	1
OG0000018	0	0	0	0	0
NA	0	0	0	0	0
OG0000020	0	0	0	0	0
OG0000026	1	0	0	0	0
OG0000027	0	2	0	0	0
OG0000032	1	0	0	0	2
OG0000033	0	0	0	0	1
OG0000034	0	0	0	0	0
OG0000041	1	0	0	0	0
OG0000043	0	0	0	0	0
OG0000044	0	0	0	1	1
OG0000045	1	0	0	0	0
NA	0	0	0	0	0
OG0000054	0	0	0	0	0
NA	0	0	0	0	0
OG0000069	0	0	0	0	0
OG0000071	0	0	0	0	0
OG0000072	0	0	0	0	0
OG0000073	0	0	0	0	0
OG0000074	0	0	0	0	0
