id,fasta,taxonomy
Apla,/users/asebe/xgraubove/genomes/data/Apla_long.pep.fasta,Bilateria
Astrub,/users/asebe/xgraubove/genomes/data/Astrub_long.pep.fasta,Bilateria
Annjap,/users/asebe/xgraubove/genomes/data/Annjap_long.pep.fasta,Bilateria
Spur,/users/asebe/xgraubove/genomes/data/Spur_long.pep.fasta,Bilateria
Apojap,/users/asebe/xgraubove/genomes/data/Apojap_long.pep.fasta,Bilateria
Ptyfla,/users/asebe/xgraubove/genomes/data/Ptyfla_long.pep.fasta,Bilateria
Skow,/users/asebe/xgraubove/genomes/data/Skow_long.pep.fasta,Bilateria
Bflo,/users/asebe/xgraubove/genomes/data/Bflo_long.pep.fasta,Bilateria
Brabel,/users/asebe/xgraubove/genomes/data/Brabel_long.pep.fasta,Bilateria
Bralan,/users/asebe/xgraubove/genomes/data/Bralan_long.pep.fasta,Bilateria
Oikdio,/users/asebe/xgraubove/genomes/data/Oikdio_long.pep.fasta,Bilateria
Botlea,/users/asebe/xgraubove/genomes/data/Botlea_long.pep.fasta,Bilateria
Cint,/users/asebe/xgraubove/genomes/data/Cint_long.pep.fasta,Bilateria
Halaur,/users/asebe/xgraubove/genomes/data/Halaur_long.pep.fasta,Bilateria
Drer,/users/asebe/xgraubove/genomes/data/Drer_long.pep.fasta,Bilateria
Lepocu,/users/asebe/xgraubove/genomes/data/Lepocu_long.pep.fasta,Bilateria
Xenlae,/users/asebe/xgraubove/genomes/data/Xenlae_long.pep.fasta,Bilateria
Xentro,/users/asebe/xgraubove/genomes/data/Xentro_long.pep.fasta,Bilateria
Calmil,/users/asebe/xgraubove/genomes/data/Calmil_long.pep.fasta,Bilateria
Latcha,/users/asebe/xgraubove/genomes/data/Latcha_long.pep.fasta,Bilateria
Galgal,/users/asebe/xgraubove/genomes/data/Galgal_long.pep.fasta,Bilateria
Taegut,/users/asebe/xgraubove/genomes/data/Taegut_long.pep.fasta,Bilateria
Hsap,/users/asebe/xgraubove/genomes/data/Hsap_long.pep.fasta,Bilateria
Mmus,/users/asebe/xgraubove/genomes/data/Mmus_long.pep.fasta,Bilateria
Mondom,/users/asebe/xgraubove/genomes/data/Mondom_long.pep.fasta,Bilateria
Ornana,/users/asebe/xgraubove/genomes/data/Ornana_long.pep.fasta,Bilateria
Anocar,/users/asebe/xgraubove/genomes/data/Anocar_long.pep.fasta,Bilateria
Cscu,/users/asebe/xgraubove/genomes/data/Cscu_long.pep.fasta,Bilateria
Ixosca,/users/asebe/xgraubove/genomes/data/Ixosca_long.pep.fasta,Bilateria
Lpol,/users/asebe/xgraubove/genomes/data/Lpol_long.pep.fasta,Bilateria
Stemim,/users/asebe/xgraubove/genomes/data/Stemim_long.pep.fasta,Bilateria
Folcan,/users/asebe/xgraubove/genomes/data/Folcan_long.pep.fasta,Bilateria
Orccin,/users/asebe/xgraubove/genomes/data/Orccin_long.pep.fasta,Bilateria
Dpul,/users/asebe/xgraubove/genomes/data/Dpul_long.pep.fasta,Bilateria
Polpol,/users/asebe/xgraubove/genomes/data/Polpol_long.pep.fasta,Bilateria
Lepsal,/users/asebe/xgraubove/genomes/data/Lepsal_long.pep.fasta,Bilateria
Penmon,/users/asebe/xgraubove/genomes/data/Penmon_long.pep.fasta,Bilateria
Tcas,/users/asebe/xgraubove/genomes/data/Tcas_long.pep.fasta,Bilateria
Aedaeg,/users/asebe/xgraubove/genomes/data/Aedaeg_long.pep.fasta,Bilateria
Anogam,/users/asebe/xgraubove/genomes/data/Anogam_long.pep.fasta,Bilateria
Culqui,/users/asebe/xgraubove/genomes/data/Culqui_long.pep.fasta,Bilateria
Dmel,/users/asebe/xgraubove/genomes/data/Dmel_long.pep.fasta,Bilateria
Glomor,/users/asebe/xgraubove/genomes/data/Glomor_long.pep.fasta,Bilateria
Luccup,/users/asebe/xgraubove/genomes/data/Luccup_long.pep.fasta,Bilateria
Lutlon,/users/asebe/xgraubove/genomes/data/Lutlon_long.pep.fasta,Bilateria
Musdom,/users/asebe/xgraubove/genomes/data/Musdom_long.pep.fasta,Bilateria
Phlpap,/users/asebe/xgraubove/genomes/data/Phlpap_long.pep.fasta,Bilateria
Rhopro,/users/asebe/xgraubove/genomes/data/Rhopro_long.pep.fasta,Bilateria
Apimel,/users/asebe/xgraubove/genomes/data/Apimel_long.pep.fasta,Bilateria
Nasvit,/users/asebe/xgraubove/genomes/data/Nasvit_long.pep.fasta,Bilateria
Zoonev,/users/asebe/xgraubove/genomes/data/Zoonev_long.pep.fasta,Bilateria
