gene_family	speciation	speciation_loss	duplication	transfer	transfer_loss	loss	number_gene_copies	number_species
OG0000013	87	30	35	43	0	0	166	42
OG0000014	50	9	57	46	0	0	154	37
OG0000015	70	20	32	45	0	0	148	42
OG0000017	44	8	60	28	0	0	133	34
OG0000018	27	7	61	37	0	0	126	30
OG0000019	77	24	10	38	0	0	126	36
OG0000020	61	15	19	40	0	0	121	39
OG0000021	56	23	24	20	0	0	101	39
OG0000022	68	11	11	19	0	0	99	38
OG0000023	43	9	20	30	0	0	94	44
OG0000024	13	0	43	34	0	0	91	31
OG0000025	24	5	49	11	0	0	85	27
OG0000026	37	21	10	30	0	0	78	29
OG0000027	24	5	22	27	0	0	74	32
OG0000028	25	0	19	28	0	0	73	36
OG0000029	21	1	18	30	0	0	70	30
OG0000030	39	10	22	8	0	0	70	40
OG0000031	19	1	29	18	0	0	67	26
OG0000032	10	1	32	24	0	0	67	24
OG0000033	28	6	26	11	0	0	66	29
OG0000034	38	9	8	18	0	0	65	31
OG0000036	43	5	7	10	0	0	61	31
OG0000037	23	7	22	7	0	0	53	28
OG0000038	29	3	14	14	0	0	58	22
OG0000040	30	7	19	5	0	0	55	32
OG0000041	32	4	13	9	0	0	55	42
OG0000042	20	2	13	19	0	0	53	29
OG0000043	40	10	8	5	0	0	54	37
OG0000044	28	8	12	9	0	0	50	29
OG0000045	23	5	17	9	0	0	50	27
OG0000048	9	1	23	14	0	0	47	19
OG0000049	28	7	9	10	0	0	48	28
OG0000050	12	0	17	17	0	0	47	20
OG0000051	28	10	11	7	0	0	47	29
OG0000052	29	4	6	11	0	0	47	28
OG0000054	26	0	3	16	0	0	46	33
OG0000056	18	8	13	13	0	0	45	22
OG0000057	9	0	24	11	0	0	45	17
OG0000058	31	6	7	6	0	0	45	33
OG0000059	31	0	3	9	0	0	44	40
OG0000060	10	0	20	12	0	0	43	20
OG0000061	26	2	11	5	0	0	43	26
OG0000063	30	2	8	4	0	0	43	23
OG0000064	9	0	17	14	0	0	41	19
OG0000065	15	2	13	13	0	0	42	26
OG0000066	20	3	17	4	0	0	42	20
OG0000067	26	11	2	11	0	0	40	34
OG0000069	9	0	11	19	0	0	40	22
OG0000070	17	0	2	19	0	0	39	37
OG0000073	15	6	9	12	0	0	37	27
OG0000074	26	4	2	9	0	0	38	29
OG0000076	9	0	18	10	0	0	38	16
OG0000078	22	10	5	9	0	0	37	25
OG0000079	25	2	5	6	0	0	37	24
OG0000084	22	2	4	9	0	0	36	29
OG0000085	26	2	1	8	0	0	36	25
OG0000086	25	7	5	5	0	0	36	28
OG0000087	28	6	4	3	0	0	36	28
OG0000088	18	4	5	12	0	0	36	29
OG0000089	28	0	6	0	0	0	35	29
OG0000091	26	7	2	6	0	0	35	29
OG0000093	15	0	4	14	0	0	34	27
OG0000094	25	3	6	2	0	0	34	26
OG0000095	4	0	23	4	0	0	32	9
OG0000097	19	3	2	11	0	0	33	28
OG0000099	13	5	5	13	0	0	32	20
OG0000102	7	0	10	12	0	0	30	14
OG0000103	23	4	5	1	0	0	30	22
OG0000104	4	0	20	4	0	0	29	9
OG0000106	19	3	6	3	0	0	29	23
OG0000109	9	0	7	11	0	0	28	21
OG0000110	10	3	7	9	0	0	27	15
OG0000111	4	0	19	2	0	0	26	7
OG0000112	8	0	3	14	0	0	26	11
OG0000113	25	0	0	1	0	0	27	24
OG0000114	9	2	8	8	0	0	26	14
