	Acagra	Aedaeg	Ampfan	Anocar	Apimel	Apla	Aplcal	Beraby	Bflo	Bolinf	Bracal	Brumal	Bugner	Cgig	Chrper	Clim	Coeast	Cowc	Cscu	Ctel	Dgig	Dpul	Drer	Drygla	Dugjap	Exapal	Folcan	Galgal	Hduj	Hhon	Hsap	Hvul	Leuniv	Linana	Linlon	Mbre	Morvir	Nemnom	Ocar	Oikdio	Phoaus	Pricau	Ptyfla	Rhopro	Stycar	Tcas
Acagra	0	0	1	0	0	0	8	0	0	0	0	0	0	11	0	0	1	0	0	0	1	0	1	0	2	1	1	0	0	0	0	0	0	2	6	0	0	0	0	1	0	1	1	2	0	1
Aedaeg	3	0	3	1	1	2	1	1	2	0	0	0	0	0	1	0	0	0	1	2	1	1	3	0	0	0	2	0	0	1	1	0	0	2	2	0	0	0	0	0	2	0	1	2	0	1
Ampfan	5	2	0	2	1	1	4	2	3	1	0	0	1	1	0	0	0	0	3	3	1	0	3	0	0	1	0	0	0	0	2	2	2	2	0	0	1	1	0	1	1	3	1	1	1	0
Anocar	1	1	3	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	3	2	0	1	2	0	0	0	0	0	0	0	0	1	0	0
Apimel	1	5	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0
Apla	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	1	1	1	0	0	2	0	0	0	0	1	0	1	1	0	1	0
Aplcal	7	0	2	0	0	0	0	0	2	0	1	0	0	3	0	0	0	0	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	1	1	1	0	0
Beraby	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bflo	1	0	5	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	4	0	1	3	2	0	1	3	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	1
Bolinf	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bracal	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	1	1	0	0	0	2	0	1	0	3	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
Brumal	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0
Bugner	0	1	2	0	0	1	0	0	2	0	0	3	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0
Cgig	6	2	1	0	0	1	8	0	2	0	1	0	3	0	0	0	0	0	0	2	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	1	2	1	0	0	0	0	0
Chrper	0	0	2	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Clim	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
