	Acagra	Aedaeg	Ampfan	Anocar	Apimel	Apla	Aplcal	Beraby	Bflo	Bolinf	Bracal	Brumal	Bugner	Cgig	Chrper	Clim	Coeast	Cowc	Cscu	Ctel	Dgig	Dpul	Drer	Drygla	Dugjap	Exapal	Folcan	Galgal	Hduj	Hhon	Hsap	Hvul	Leuniv	Linana	Linlon	Mbre	Morvir	Nemnom	Ocar	Oikdio	Phoaus	Pricau	Ptyfla	Rhopro	Stycar	Tcas
Acagra	0	1	4	1	1	0	11	0	1	0	1	1	1	10	0	0	1	0	0	0	3	0	0	0	0	0	1	0	1	0	1	0	0	0	4	0	0	0	0	3	2	2	0	3	0	1
Aedaeg	2	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	2	0	1	0	4	1	1	3	3	0	0	1	1	1	0	1	0	0	0	0	1	1	2	0	3	3	0	0
Ampfan	9	3	0	5	2	3	5	4	4	2	0	1	1	0	1	0	0	0	6	3	3	2	4	0	3	3	5	0	0	1	5	0	1	8	1	1	1	1	0	0	1	5	2	1	2	2
Anocar	1	1	1	0	0	0	2	0	6	0	2	1	0	0	0	0	1	0	1	0	0	0	6	0	1	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	2	0	0
Apimel	1	2	1	1	0	1	2	0	0	0	1	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0	2	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0
Apla	0	3	1	0	0	0	1	1	0	2	2	0	1	1	0	0	1	0	0	1	0	1	1	2	0	1	0	0	1	1	0	1	0	1	2	0	0	0	1	1	1	1	0	1	1	1
Aplcal	6	1	5	1	0	1	0	0	2	0	0	2	0	5	1	0	0	0	3	3	0	0	0	1	1	1	2	0	1	0	0	0	1	2	1	0	0	0	0	2	2	1	0	0	0	0
Beraby	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
Bflo	1	1	9	3	1	0	3	1	0	2	3	0	0	0	1	0	0	0	3	0	1	0	1	2	1	1	1	0	1	0	0	2	1	1	3	0	0	2	0	0	1	4	0	2	0	1
Bolinf	0	0	2	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Bracal	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Brumal	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	3	3	0	1	2	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0
Bugner	0	0	1	0	1	1	0	0	4	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	3	1	1	0	0	0	0
Cgig	6	1	0	0	1	1	6	0	1	0	1	0	2	0	0	0	0	0	0	1	1	0	0	0	0	1	2	0	0	0	1	0	1	2	0	1	0	0	1	0	2	2	1	1	0	1
Chrper	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Clim	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Coeast	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cowc	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Cscu	2	0	1	0	1	0	1	0	2	1	0	1	1	0	0	0	0	0	0	0	1	0	2	0	1	1	0	0	4	0	0	0	0	0	1	1	0	1	0	1	1	2	1	0	0	1
Ctel	0	2	2	0	0	0	3	0	3	0	2	1	2	4	1	0	0	0	2	0	0	1	1	2	2	3	0	0	3	0	3	0	1	2	8	0	2	0	0	0	1	1	1	1	0	0
Dgig	0	1	3	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	0	0	0	0	1	1	1	2	0	0	0	0	0	1	2
Dpul	1	4	1	2	1	0	0	0	1	0	0	2	2	0	0	0	0	0	1	1	0	0	0	1	2	1	0	0	1	1	1	0	0	1	0	0	0	0	1	4	0	0	0	2	0	0
Drer	2	1	8	1	1	1	5	0	3	1	1	0	0	1	0	1	1	0	1	2	1	1	0	1	0	0	3	3	1	1	1	0	0	0	2	0	1	0	0	1	0	1	0	0	0	1
Drygla	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
