gene_family	speciation	speciation_loss	duplication	transfer	transfer_loss	loss	number_gene_copies	number_species
OG0000013	80	33	34	51	0	0	166	42
OG0000014	49	14	58	46	0	0	154	37
OG0000015	73	21	36	38	0	0	148	42
OG0000017	43	10	60	29	0	0	133	34
OG0000018	30	12	59	36	0	0	126	30
OG0000019	74	28	11	40	0	0	126	36
OG0000020	64	26	19	37	0	0	121	39
OG0000021	54	26	23	23	0	0	101	39
OG0000022	69	16	11	18	0	0	99	38
OG0000023	44	12	20	29	0	0	94	44
OG0000024	16	10	44	30	0	0	91	31
OG0000025	25	8	49	10	0	0	85	27
OG0000026	33	18	11	33	0	0	78	29
OG0000027	22	4	21	30	0	0	74	32
OG0000028	25	7	18	29	0	0	73	36
OG0000029	25	6	21	23	0	0	70	30
OG0000030	39	13	22	8	0	0	70	40
OG0000031	19	5	29	18	0	0	67	26
OG0000032	10	6	32	24	0	0	67	24
OG0000033	21	5	24	20	0	0	66	29
OG0000034	35	20	11	18	0	0	65	31
OG0000036	45	19	7	8	0	0	61	31
OG0000037	17	9	23	12	0	0	53	28
OG0000038	27	7	13	17	0	0	58	22
OG0000040	28	9	17	9	0	0	55	32
OG0000041	29	5	13	12	0	0	55	42
OG0000042	22	5	12	18	0	0	53	29
OG0000043	38	15	6	9	0	0	54	37
OG0000044	25	8	13	11	0	0	50	29
OG0000045	21	4	15	13	0	0	50	27
OG0000048	7	3	24	15	0	0	47	19
OG0000049	30	16	9	8	0	0	48	28
OG0000050	8	2	21	17	0	0	47	20
OG0000051	25	8	12	9	0	0	47	29
OG0000052	23	2	6	17	0	0	47	28
OG0000054	22	2	6	17	0	0	46	33
OG0000056	16	6	11	17	0	0	45	22
OG0000057	11	6	22	11	0	0	45	17
OG0000058	32	18	9	3	0	0	45	33
OG0000059	30	3	3	10	0	0	44	40
OG0000060	13	3	21	8	0	0	43	20
OG0000061	24	10	12	6	0	0	43	26
OG0000063	27	5	8	7	0	0	43	23
OG0000064	5	0	19	16	0	0	41	19
OG0000065	14	11	14	13	0	0	42	26
OG0000066	18	6	17	6	0	0	42	20
