gene_family	species	duplication	loss	transfer
OG0000013	Acagra	0.31342	1	0.751104
OG0000013	Ctel	0.18536	1e-07	0.828476
OG0000013	Linana	1e-07	0.373322	0.0591298
OG0000013	Phoaus	1e-07	1e-07	0.599576
OG0000013	Ampfan	1e-07	1	0.129342
OG0000013	Cgig	1e-07	1e-07	1e-07
OG0000013	Linlon	1e-07	1e-07	0.52656
OG0000013	Aplcal	1e-07	1e-07	0.488836
OG0000013	Bugner	0.251702	1e-07	0.405184
OG0000013	Pricau	1e-07	1e-07	1e-07
OG0000013	Clim	0.0333709	0.692595	0.0923374
OG0000013	Stycar	1e-07	0.546849	0.0211308
OG0000013	Aedaeg	0.301508	1e-07	1e-07
OG0000013	Apimel	1e-07	1e-07	0.608714
OG0000013	Rhopro	1e-07	1e-07	1e-07
OG0000013	Tcas	1e-07	1e-07	1e-07
OG0000013	Dpul	1e-07	1e-07	1e-07
OG0000013	Folcan	1e-07	0.827721	1e-07
OG0000013	Cscu	0.498893	1e-07	1e-07
OG0000013	Bracal	1e-07	1e-07	1e-07
OG0000013	Brumal	0.00602005	0.187759	0.080003
OG0000013	Chrper	0.113716	0.181418	0.186539
OG0000013	Cowc	0.113716	0.181418	0.186539
OG0000013	Leuniv	1e-07	1e-07	0.48825
OG0000013	Ocar	0.0139468	0.11256	0.087735
OG0000013	Oikdio	0.212236	1e-07	0.0436132
OG0000013	Dugjap	0.725068	1e-07	1e-07
OG0000013	Mbre	1e-07	1	1e-07
OG0000013	Hduj	1e-07	1e-07	0.14384
OG0000013	Dgig	0.292426	0.373214	1e-07
OG0000013	Exapal	1e-07	1e-07	0.0889386
OG0000013	Hvul	1e-07	0.523914	1e-07
OG0000013	Morvir	0.21765	1e-07	1e-07
OG0000013	Nemnom	0.217647	1e-07	1e-07
OG0000013	Hhon	1e-07	1e-07	1
OG0000013	Bolinf	0.802415	1e-07	1e-07
OG0000013	Beraby	1	1e-07	1e-07
OG0000013	Coeast	0.37906	1e-07	0.0849357
OG0000013	Drygla	0.377323	1e-07	0.65923
OG0000013	Anocar	1e-07	0.565323	1e-07
OG0000013	Galgal	1e-07	0.351083	1e-07
OG0000013	Hsap	1e-07	0.150572	1e-07
OG0000013	Drer	1	1e-07	1e-07
OG0000013	Apla	1e-07	1e-07	1e-07
OG0000013	Ptyfla	1e-07	1e-07	1e-07
OG0000013	Bflo	1e-07	0.260149	0.807529
OG0000013	Node_Acagra_Aedaeg_0	1e-07	0.0286752	1e-07
OG0000013	Node_Acagra_Pricau_0	1e-07	0.459123	0.0375907
OG0000013	Node_Acagra_Aplcal_0	1e-07	0.0663626	0.0845989
OG0000013	Node_Acagra_Ampfan_0	1e-07	1e-07	1e-07
OG0000013	Node_Acagra_Linana_0	1e-07	1e-07	1e-07
OG0000013	Node_Acagra_Ctel_0	1e-07	1e-07	0.00489595
OG0000013	Node_Linana_Phoaus_0	1e-07	1e-07	0.601669
OG0000013	Node_Ampfan_Linlon_0	1e-07	1e-07	1e-07
OG0000013	Node_Ampfan_Cgig_0	1e-07	1e-07	1e-07
OG0000013	Node_Aplcal_Bugner_0	1e-07	0.153852	0.0826859
OG0000013	Node_Pricau_Stycar_0	0.00388868	0.118729	0.0768395
OG0000013	Node_Pricau_Clim_0	1e-07	0.0839527	0.0583795
OG0000013	Node_Aedaeg_Dgig_0	1e-07	1e-07	0.00864387
OG0000013	Node_Aedaeg_Bracal_0	1e-07	1e-07	0.444506
OG0000013	Node_Aedaeg_Cscu_0	1e-07	1e-07	0.601343
OG0000013	Node_Aedaeg_Dpul_0	1e-07	0.731409	0.0496346
OG0000013	Node_Aedaeg_Apimel_0	1e-07	1e-07	1e-07
OG0000013	Node_Apimel_Tcas_0	1e-07	1e-07	1e-07
OG0000013	Node_Apimel_Rhopro_0	1e-07	0.438059	1e-07
OG0000013	Node_Dpul_Folcan_0	1e-07	1e-07	1e-07
OG0000013	Node_Bracal_Brumal_0	1e-07	0.436982	1e-07
OG0000013	Node_Brumal_Chrper_0	1e-07	0.550806	0.0212086
OG0000013	Node_Chrper_Hduj_0	1e-07	0.508742	0.265033
OG0000013	Node_Chrper_Dugjap_0	1e-07	0.0234178	0.115266
OG0000013	Node_Chrper_Oikdio_0	1e-07	1e-07	0.373797
OG0000013	Node_Chrper_Ocar_0	1e-07	0.711056	1e-07
OG0000013	Node_Chrper_Leuniv_0	1e-07	0.0101621	0.318798
OG0000013	Node_Chrper_Cowc_0	0.0281734	0.706797	0.0850341
OG0000013	Node_Dugjap_Mbre_0	1e-07	1e-07	1e-07
OG0000013	Node_Dgig_Hhon_0	1e-07	1e-07	0.264733
OG0000013	Node_Dgig_Hvul_0	1e-07	1e-07	0.371379
OG0000013	Node_Dgig_Exapal_0	1e-07	1e-07	0.158613
OG0000013	Node_Hvul_Morvir_0	1e-07	1e-07	0.151519
OG0000013	Node_Morvir_Nemnom_0	1e-07	1e-07	0.337766
OG0000013	Node_Hhon_Bolinf_0	1e-07	0.568088	0.0137845
OG0000013	Node_Bolinf_Coeast_0	0.0168771	0.0646388	0.0934148
OG0000013	Node_Bolinf_Beraby_0	1e-07	1e-07	0.495508
OG0000013	Node_Coeast_Drygla_0	0.0142329	0.0441957	0.0965292
OG0000013	Node_Anocar_Apla_0	1e-07	1e-07	1e-07
OG0000013	Node_Anocar_Drer_0	1	1e-07	0.405899
OG0000013	Node_Anocar_Hsap_0	1e-07	1e-07	1e-07
OG0000013	Node_Anocar_Galgal_0	1e-07	0.0164398	1e-07
OG0000013	Node_Apla_Bflo_0	1e-07	1e-07	0.714308
OG0000013	Node_Apla_Ptyfla_0	1e-07	0.483693	1e-07
OG0000013	Node_Acagra_Anocar_0	1e-07	1e-07	0.276242
OG0000014	Acagra	1e-07	1e-07	1
OG0000014	Ctel	0.453717	1e-07	0.786164
OG0000014	Linana	0.287106	1e-07	0.213726
OG0000014	Phoaus	0.0559951	0.119176	0.0284902
OG0000014	Ampfan	1	1e-07	1e-07
OG0000014	Cgig	0.818649	0.500542	1e-07
OG0000014	Linlon	0.255498	1e-07	1e-07
OG0000014	Aplcal	1e-07	1e-07	1
OG0000014	Bugner	1	1e-07	1
OG0000014	Pricau	0.201446	1	0.137296
OG0000014	Clim	0.0371524	1e-07	0.209872
OG0000014	Stycar	0.499081	1e-07	0.941423
OG0000014	Aedaeg	1e-07	1e-07	1e-07
OG0000014	Apimel	1e-07	1e-07	0.296449
OG0000014	Rhopro	0.0521736	0.186202	0.024198
OG0000014	Tcas	0.0530368	0.393201	0.0256205
OG0000014	Dpul	1e-07	1e-07	0.708841
OG0000014	Folcan	0.0598576	1e-07	0.0323776
OG0000014	Cscu	0.439469	1e-07	0.163116
OG0000014	Bracal	1e-07	1e-07	0.151343
OG0000014	Brumal	0.275265	0.581148	0.247257
OG0000014	Chrper	0.302591	0.0241854	0.274954
OG0000014	Cowc	0.302591	0.0241854	0.274954
OG0000014	Leuniv	0.50155	1e-07	0.0959333
OG0000014	Ocar	1e-07	1e-07	0.411148
OG0000014	Oikdio	0.235755	1e-07	1e-07
OG0000014	Dugjap	0.541645	1e-07	0.119816
OG0000014	Mbre	0.294328	0.217163	0.266475
OG0000014	Hduj	1e-07	1e-07	0.626129
OG0000014	Dgig	1e-07	1	0.525931
OG0000014	Exapal	0.214695	1e-07	1e-07
OG0000014	Hvul	1e-07	1e-07	1
OG0000014	Morvir	1e-07	1e-07	0.0331296
OG0000014	Nemnom	1e-07	1e-07	1e-07
OG0000014	Hhon	1e-07	1e-07	0.519103
OG0000014	Bolinf	0.302613	0.0225519	0.274977
OG0000014	Beraby	0.302613	0.0225519	0.274977
OG0000014	Coeast	0.302613	0.0225519	0.274977
OG0000014	Drygla	0.302613	0.0225519	0.274977
OG0000014	Anocar	1e-07	1	0.754116
OG0000014	Galgal	1e-07	1e-07	1e-07
OG0000014	Hsap	1	1e-07	0.383107
OG0000014	Drer	1	1e-07	1e-07
OG0000014	Apla	1e-07	1e-07	1e-07
OG0000014	Ptyfla	1e-07	1e-07	1
OG0000014	Bflo	1	1e-07	1e-07
OG0000014	Node_Acagra_Aedaeg_0	0.30244	0.0259206	0.275024
OG0000014	Node_Acagra_Pricau_0	0.293434	0.0134232	0.282866
OG0000014	Node_Acagra_Aplcal_0	0.276184	0.166116	0.26762
OG0000014	Node_Acagra_Ampfan_0	0.28338	0.312173	0.255877
OG0000014	Node_Acagra_Linana_0	0.0597005	1e-07	0.043529
OG0000014	Node_Acagra_Ctel_0	0.0568816	1e-07	0.0379252
OG0000014	Node_Linana_Phoaus_0	0.0499807	1e-07	0.0280884
OG0000014	Node_Ampfan_Linlon_0	0.238385	0.0929205	0.328258
OG0000014	Node_Ampfan_Cgig_0	1e-07	0.0688645	0.292917
OG0000014	Node_Aplcal_Bugner_0	1e-07	1e-07	0.224869
OG0000014	Node_Pricau_Stycar_0	1e-07	1e-07	0.585928
