gene_family	Acagra	Aedaeg	Ampfan	Anocar	Apimel	Apla	Aplcal	Beraby	Bflo	Bolinf	Bracal	Brumal	Bugner	Cgig	Chrper	Clim	Coeast	Cowc	Cscu	Ctel	Dgig	Dpul	Drer	Drygla	Dugjap	Exapal	Folcan	Galgal	Hduj	Hhon	Hsap	Hvul	Leuniv	Linana	Linlon	Mbre	Morvir	Nemnom	Ocar	Oikdio	Phoaus	Pricau	Ptyfla	Rhopro	Stycar	Tcas
OG0000013	4	0	0	0	3	0	2	0	4	0	0	0	1	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	4	0	0	3	0	2	0	0	0	0	0	2	0	0	0	0	0
OG0000014	2	0	0	2	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	1	0	2	3	0	1	0	0	0	0	1	0	0	0	5	0	1	0
OG0000015	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	2	0	1	3	2	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	1	3	0	0	0
OG0000017	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	4	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0
OG0000018	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	4	0	0	0	4	2	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	2	1	0	0
OG0000019	0	0	0	2	1	2	2	0	1	0	0	0	3	0	0	0	0	0	0	2	0	2	0	0	1	0	5	0	0	0	1	0	0	1	0	0	0	0	0	0	3	1	0	0	2	0
OG0000020	1	0	1	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	2	1	0	0	1	0	0	1	0	1	0	0	0	2	0	0	0	1	6	1	0	0	0	1	0
OG0000021	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	1	2	0	0	0	0	0	3	0	0	0	0	2	1	1	0	0	0	0
OG0000022	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	0	0
OG0000023	1	0	2	0	0	0	2	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0
OG0000024	0	0	0	0	2	1	0	2	6	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	2	0	0	0	3	0	4
OG0000025	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OG0000026	0	0	1	0	0	0	0	0	3	0	0	0	1	2	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	3	1	1	0	0	1
OG0000027	0	0	1	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	3	1
OG0000028	1	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	2	4	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
OG0000029	3	0	2	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1
OG0000030	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OG0000031	0	0	2	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
OG0000032	1	4	1	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
OG0000033	2	0	2	0	0	0	2	0	4	0	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
