species Number.of.genes Number.of.genes.in.orthogroups Number.of.unassigned.genes Percentage.of.genes.in.orthogroups Percentage.of.unassigned.genes Number.of.orthogroups.containing.species Percentage.of.orthogroups.containing.species Number.of.species.specific.orthogroups Number.of.genes.in.species.specific.orthogroups Percentage.of.genes.in.species.specific.orthogroups
Acagra 456 436 20 95.6 4.4 202 7.7 14 29 6.4
Ctel 610 568 42 93.1 6.9 252 9.6 37 85 13.9
Linana 485 464 21 95.7 4.3 226 8.6 19 49 10.1
Phoaus 379 359 20 94.7 5.3 193 7.3 14 29 7.7
Ampfan 3021 2868 153 94.9 5.1 861 32.8 185 907 30
Cgig 444 426 18 95.9 4.1 208 7.9 20 45 10.1
Linlon 523 488 35 93.3 6.7 269 10.2 14 28 5.4
Aplcal 422 394 28 93.4 6.6 227 8.6 21 51 12.1
Bugner 269 257 12 95.5 4.5 128 4.9 8 27 10
Pricau 185 171 14 92.4 7.6 112 4.3 7 14 7.6
Clim 24 21 3 87.5 12.5 18 0.7 1 2 8.3
Stycar 81 78 3 96.3 3.7 36 1.4 3 6 7.4
Aedaeg 805 740 65 91.9 8.1 363 13.8 79 199 24.7
Apimel 324 312 12 96.3 3.7 169 6.4 11 22 6.8
Rhopro 327 304 23 93 7 166 6.3 14 30 9.2
Tcas 449 413 36 92 8 218 8.3 33 70 15.6
Dpul 345 333 12 96.5 3.5 146 5.6 19 49 14.2
Folcan 1000 916 84 91.6 8.4 332 12.6 73 227 22.7
Cscu 972 936 36 96.3 3.7 277 10.5 53 162 16.7
Bracal 359 335 24 93.3 6.7 131 5 35 124 34.5
Brumal 248 241 7 97.2 2.8 84 3.2 3 53 21.4
Chrper 51 47 4 92.2 7.8 30 1.1 0 0 0
Cowc 35 33 2 94.3 5.7 26 1 0 0 0
Leuniv 125 115 10 92 8 56 2.1 5 10 8
Ocar 49 46 3 93.9 6.1 31 1.2 1 2 4.1
Oikdio 241 224 17 92.9 7.1 103 3.9 14 32 13.3
Dugjap 242 225 17 93 7 102 3.9 12 39 16.1
Mbre 27 26 1 96.3 3.7 21 0.8 1 2 7.4
Hduj 191 180 11 94.2 5.8 83 3.2 2 4 2.1
Dgig 356 332 24 93.3 6.7 154 5.9 15 39 11
Exapal 449 421 28 93.8 6.2 172 6.5 23 54 12
Hvul 221 207 14 93.7 6.3 109 4.2 10 22 10
Morvir 265 249 16 94 6 124 4.7 11 25 9.4
Nemnom 261 250 11 95.8 4.2 119 4.5 8 20 7.7
Hhon 94 91 3 96.8 3.2 52 2 1 2 2.1
Bolinf 302 283 19 93.7 6.3 118 4.5 8 20 6.6
Beraby 226 211 15 93.4 6.6 88 3.4 4 12 5.3
Coeast 282 267 15 94.7 5.3 74 2.8 9 42 14.9
Drygla 288 268 20 93.1 6.9 106 4 14 41 14.2
Anocar 1044 971 73 93 7 337 12.8 40 138 13.2
Galgal 552 539 13 97.6 2.4 199 7.6 5 23 4.2
Hsap 1073 930 143 86.7 13.3 360 13.7 64 194 18.1
Drer 1690 1643 47 97.2 2.8 414 15.8 63 286 16.9
Apla 338 315 23 93.2 6.8 167 6.4 7 15 4.4
Ptyfla 511 475 36 93 7 227 8.6 27 73 14.3
Bflo 1385 1319 66 95.2 4.8 392 14.9 82 389 28.1
