gene_family	speciation	speciation_loss	duplication	transfer	transfer_loss	loss	number_gene_copies	number_species
OG0000005	3	1	13	0	0	0	17	4
OG0000009	6	0	6	1	0	0	14	4
OG0000010	4	0	8	0	0	0	13	5
OG0000011	3	0	0	9	0	0	13	5
OG0000013	5	3	5	1	0	0	12	4
OG0000017	5	0	3	2	0	0	11	5
OG0000018	3	1	7	0	0	0	11	4
OG0000019	4	0	4	1	0	0	10	5
OG0000020	4	0	5	0	0	0	10	5
OG0000026	3	1	3	2	0	0	9	4
OG0000027	4	0	2	2	0	0	9	5
OG0000032	3	0	1	3	0	0	8	5
OG0000033	3	1	3	1	0	0	8	4
OG0000034	3	1	3	0	0	0	7	4
OG0000041	4	1	0	1	0	0	6	4
OG0000043	4	0	2	0	0	0	7	5
OG0000044	2	0	2	2	0	0	7	4
OG0000045	4	0	1	1	0	0	7	5
OG0000052	3	1	1	1	0	0	6	5
OG0000054	3	1	2	0	0	0	6	4
OG0000068	2	1	1	1	0	0	5	4
OG0000069	3	0	1	0	0	0	5	4
OG0000071	4	0	0	0	0	0	5	5
OG0000072	3	1	1	0	0	0	5	4
OG0000073	4	0	0	0	0	0	5	5
OG0000074	3	1	1	0	0	0	5	4
